,level_0,index,time,Slope,PID,condition,method,ss,Target
89,139,239,736,-0.12270094050795854,1,N1,Observed,1,target
90,140,240,760,-0.3005323154267833,1,N1,Observed,1,target
91,141,241,784,-0.32360641993398515,1,N1,Observed,1,target
92,142,242,808,-0.2634350148845326,1,N1,Observed,1,target
93,143,243,832,-0.14941678802099784,1,N1,Observed,1,target
94,144,244,856,-0.06019896604402952,1,N1,Observed,1,target
95,145,245,880,-0.007043954041364222,1,N1,Observed,1,target
96,146,246,904,0.03201244445556788,1,N1,Observed,1,target
97,147,247,928,0.05832126042167007,1,N1,Observed,1,target
98,148,248,952,0.07401447240425511,1,N1,Observed,1,target
99,149,249,976,0.08797133609920034,1,N1,Observed,1,target
100,200,400,-200,0.10830947231338935,2,N1,Observed,1,target
101,201,401,-176,0.09857908794223652,2,N1,Observed,1,target
102,202,402,-152,0.0689686913465662,2,N1,Observed,1,target
103,203,403,-128,0.09360192503351526,2,N1,Observed,1,target
104,204,404,-104,0.09741291232758521,2,N1,Observed,1,target
105,205,405,-80,0.044628042340077195,2,N1,Observed,1,target
106,206,406,-56,-0.05665895805444001,2,N1,Observed,1,target
107,207,407,-32,-0.09083308880253677,2,N1,Observed,1,target
108,208,408,-8,-0.039539839281944905,2,N1,Observed,1,target
109,209,409,16,0.0017293458609023427,2,N1,Observed,1,target
110,210,410,40,-0.027747596090750587,2,N1,Observed,1,target
111,211,411,64,-0.045372880344029504,2,N1,Observed,1,target
112,212,412,88,-0.032775475381888276,2,N1,Observed,1,target
113,213,413,112,-0.1165479600887105,2,N1,Observed,1,target
114,214,414,136,-0.2908967095011103,2,N1,Observed,1,target
115,215,415,160,-0.46187027680470655,2,N1,Observed,1,target
116,216,416,184,-0.6027140830843597,2,N1,Observed,1,target
117,217,417,208,-0.6496755637306258,2,N1,Observed,1,target
118,218,418,232,-0.5348819987106138,2,N1,Observed,1,target
119,219,419,256,-0.3484064693349054,2,N1,Observed,1,target
120,220,420,280,-0.34715530905243247,2,N1,Observed,1,target
121,221,421,304,-0.42783607329943113,2,N1,Observed,1,target
122,222,422,328,-0.4427933984648728,2,N1,Observed,1,target
123,223,423,352,-0.43196917221893316,2,N1,Observed,1,target
124,224,424,376,-0.46007040532024224,2,N1,Observed,1,target
125,225,425,400,-0.4988378545435486,2,N1,Observed,1,target
126,226,426,424,-0.5168524678703996,2,N1,Observed,1,target
127,227,427,448,-0.48060811787417274,2,N1,Observed,1,target
128,228,428,472,-0.400150571481755,2,N1,Observed,1,target
129,229,429,496,-0.347999683050818,2,N1,Observed,1,target
130,230,430,520,-0.3693712621766612,2,N1,Observed,1,target
131,231,431,544,-0.39496427359803166,2,N1,Observed,1,target
132,232,432,568,-0.3840009324288493,2,N1,Observed,1,target
133,233,433,592,-0.34902722534537683,2,N1,Observed,1,target
134,234,434,616,-0.33568604625660853,2,N1,Observed,1,target
135,235,435,640,-0.3655112495381782,2,N1,Observed,1,target
136,236,436,664,-0.39170234865136583,2,N1,Observed,1,target
137,237,437,688,-0.3834624233003825,2,N1,Observed,1,target
138,238,438,712,-0.3788778336652905,2,N1,Observed,1,target
139,239,439,736,-0.387914191917651,2,N1,Observed,1,target
140,240,440,760,-0.3909849153168951,2,N1,Observed,1,target
141,241,441,784,-0.3864530123483032,2,N1,Observed,1,target
142,242,442,808,-0.3785076835978174,2,N1,Observed,1,target
143,243,443,832,-0.38408847879517327,2,N1,Observed,1,target
144,244,444,856,-0.3729387871002398,2,N1,Observed,1,target
145,245,445,880,-0.3218501985664483,2,N1,Observed,1,target
146,246,446,904,-0.28474182915784985,2,N1,Observed,1,target
147,247,447,928,-0.271388734990514,2,N1,Observed,1,target
148,248,448,952,-0.2712074493295232,2,N1,Observed,1,target
149,249,449,976,-0.26001344027827783,2,N1,Observed,1,target
150,300,600,-200,-0.11480613583457012,3,N1,Observed,1,target
151,301,601,-176,-0.09626091868235993,3,N1,Observed,1,target
152,302,602,-152,-0.10124456394239635,3,N1,Observed,1,target
153,303,603,-128,0.006102548583382318,3,N1,Observed,1,target
154,304,604,-104,0.11873392665955651,3,N1,Observed,1,target
155,305,605,-80,0.09632429682994355,3,N1,Observed,1,target
156,306,606,-56,-0.028068964245401246,3,N1,Observed,1,target
157,307,607,-32,-0.25712263663582996,3,N1,Observed,1,target
158,308,608,-8,-0.426783492280392,3,N1,Observed,1,target
159,309,609,16,-0.4274463477813604,3,N1,Observed,1,target
160,310,610,40,-0.3034484269680154,3,N1,Observed,1,target
161,311,611,64,-0.23705286501061726,3,N1,Observed,1,target
162,312,612,88,-0.3154352533417957,3,N1,Observed,1,target
163,313,613,112,-0.43316450065171713,3,N1,Observed,1,target
164,314,614,136,-0.5151665261885942,3,N1,Observed,1,target
165,315,615,160,-0.548443163663105,3,N1,Observed,1,target
166,316,616,184,-0.5386493654745587,3,N1,Observed,1,target
167,317,617,208,-0.42417045990382496,3,N1,Observed,1,target
168,318,618,232,-0.4334786927596921,3,N1,Observed,1,target
169,319,619,256,-0.5935788485456239,3,N1,Observed,1,target
170,320,620,280,-0.6405458482481923,3,N1,Observed,1,target
171,321,621,304,-0.6399217955313916,3,N1,Observed,1,target
172,322,622,328,-0.6409982223815136,3,N1,Observed,1,target
173,323,623,352,-0.6075649973098902,3,N1,Observed,1,target
174,324,624,376,-0.5663223024746686,3,N1,Observed,1,target
175,325,625,400,-0.539397147028554,3,N1,Observed,1,target
176,326,626,424,-0.5466745260384571,3,N1,Observed,1,target
177,327,627,448,-0.5802061719099582,3,N1,Observed,1,target
178,328,628,472,-0.6008875789352912,3,N1,Observed,1,target
179,329,629,496,-0.57392494027839,3,N1,Observed,1,target
180,330,630,520,-0.4982495366478274,3,N1,Observed,1,target
