,time,Slope,PID,condition,method
159,16,-2.5041363582394467e-05,0,ss2,Shuffled
160,40,-0.00011097891206206707,0,ss2,Shuffled
161,64,0.020305101560539312,0,ss2,Shuffled
162,88,-0.0010312421120014837,0,ss2,Shuffled
163,112,0.009642762458547158,0,ss2,Shuffled
164,136,-0.00923650828301851,0,ss2,Shuffled
165,160,-0.0067555862304530595,0,ss2,Shuffled
166,184,-0.03405505412482082,0,ss2,Shuffled
167,208,0.003492333164558765,0,ss2,Shuffled
168,232,-0.023169109738071663,0,ss2,Shuffled
169,256,0.0009199290175114829,0,ss2,Shuffled
170,280,0.00338269017808409,0,ss2,Shuffled
171,304,0.006697497196991785,0,ss2,Shuffled
172,328,-0.01688555321759454,0,ss2,Shuffled
173,352,-0.027807493033072325,0,ss2,Shuffled
174,376,-0.027265971868624755,0,ss2,Shuffled
175,400,-0.01717375670582014,0,ss2,Shuffled
176,424,-0.02078159202439534,0,ss2,Shuffled
177,448,-0.020209751915114083,0,ss2,Shuffled
178,472,-0.02687252565617465,0,ss2,Shuffled
179,496,0.046656600371984124,0,ss2,Shuffled
180,520,0.013099411020622245,0,ss2,Shuffled
181,544,-0.0037908148434169808,0,ss2,Shuffled
182,568,0.020799511218953213,0,ss2,Shuffled
183,592,-0.02231722815550032,0,ss2,Shuffled
184,616,-0.003654886579819708,0,ss2,Shuffled
185,640,-0.0163658838512153,0,ss2,Shuffled
186,664,0.01627938025413293,0,ss2,Shuffled
187,688,0.016910673756798007,0,ss2,Shuffled
188,712,0.01107078716432152,0,ss2,Shuffled
189,736,0.016288318979440497,0,ss2,Shuffled
190,760,0.019400367891353715,0,ss2,Shuffled
191,784,-0.014341404778961293,0,ss2,Shuffled
192,808,-0.030883615520376745,0,ss2,Shuffled
193,832,-0.008902110651139666,0,ss2,Shuffled
194,856,-0.02751314387827251,0,ss2,Shuffled
195,880,0.009473882321127615,0,ss2,Shuffled
196,904,0.01720958461113864,0,ss2,Shuffled
197,928,0.0034013135922868545,0,ss2,Shuffled
198,952,-0.025792343510856974,0,ss2,Shuffled
199,976,-0.025552308004273716,0,ss2,Shuffled
200,-200,0.09924412279792065,1,ss1_sim,Observed
201,-176,0.040949691364641404,1,ss1_sim,Observed
202,-152,-0.023189117114430623,1,ss1_sim,Observed
203,-128,-0.053605384479001005,1,ss1_sim,Observed
204,-104,-0.0595575517351542,1,ss1_sim,Observed
205,-80,-0.12371353872740283,1,ss1_sim,Observed
206,-56,-0.11908679935550166,1,ss1_sim,Observed
207,-32,-0.051368399630741544,1,ss1_sim,Observed
208,-8,0.023196140354290032,1,ss1_sim,Observed
209,16,0.08111081810887229,1,ss1_sim,Observed
210,40,0.041024600820319564,1,ss1_sim,Observed
211,64,-0.005253782214602394,1,ss1_sim,Observed
212,88,0.04432524162970699,1,ss1_sim,Observed
213,112,0.11469915102518946,1,ss1_sim,Observed
214,136,0.17538871600701714,1,ss1_sim,Observed
215,160,0.20642068997927088,1,ss1_sim,Observed
216,184,0.21886119167237703,1,ss1_sim,Observed
217,208,0.17255776957836313,1,ss1_sim,Observed
218,232,0.12983846943199898,1,ss1_sim,Observed
219,256,0.08746937483688998,1,ss1_sim,Observed
220,280,0.058205093304609844,1,ss1_sim,Observed
221,304,0.061054376946267475,1,ss1_sim,Observed
222,328,0.022941296614817558,1,ss1_sim,Observed
223,352,-0.08921426126754178,1,ss1_sim,Observed
224,376,-0.19321399259963637,1,ss1_sim,Observed
225,400,-0.16121464858853032,1,ss1_sim,Observed
226,424,-0.053011780100484,1,ss1_sim,Observed
227,448,-0.0070970276979899286,1,ss1_sim,Observed
228,472,0.001963414394532882,1,ss1_sim,Observed
229,496,0.0368401056670478,1,ss1_sim,Observed
230,520,0.04546691723767391,1,ss1_sim,Observed
231,544,0.020151777674164404,1,ss1_sim,Observed
232,568,0.00670676539160581,1,ss1_sim,Observed
233,592,0.044880603845904254,1,ss1_sim,Observed
234,616,0.03222859537610877,1,ss1_sim,Observed
235,640,-0.02683154015920428,1,ss1_sim,Observed
236,664,-0.09594342298328042,1,ss1_sim,Observed
237,688,-0.07319916631366036,1,ss1_sim,Observed
238,712,-0.02002310383357254,1,ss1_sim,Observed
239,736,0.05671225241039766,1,ss1_sim,Observed
240,760,0.11575465401152359,1,ss1_sim,Observed
241,784,0.11770870869818562,1,ss1_sim,Observed
242,808,0.09295636031634158,1,ss1_sim,Observed
243,832,0.08278164989144648,1,ss1_sim,Observed
244,856,0.09039740273082697,1,ss1_sim,Observed
245,880,0.06949667285244886,1,ss1_sim,Observed
246,904,0.02860915270887399,1,ss1_sim,Observed
247,928,-0.012475722260226899,1,ss1_sim,Observed
248,952,-0.002196766665222173,1,ss1_sim,Observed
249,976,0.013727674862360748,1,ss1_sim,Observed
250,-200,0.039805703554203216,1,ss2,Observed
251,-176,0.06921610419397815,1,ss2,Observed
252,-152,0.04990978626891387,1,ss2,Observed
253,-128,0.021302219255542588,1,ss2,Observed
254,-104,0.038443356632834186,1,ss2,Observed
255,-80,0.04606028604551046,1,ss2,Observed
256,-56,0.06843599751634555,1,ss2,Observed
257,-32,0.08176652847570083,1,ss2,Observed
258,-8,0.05845623791902985,1,ss2,Observed
