,level_0,index,time,Slope,PID,condition,method,Target,ss,label,label_all,Time Period,Time
47,47,47,928,-0.02044798599275993,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
48,48,48,952,-0.0462798970328564,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
49,49,49,976,0.009454957395799225,0,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
50,100,200,-200,0.05926129623535236,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
51,101,201,-176,0.04946560189450239,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
52,102,202,-152,-0.016449651366841598,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
53,103,203,-128,-0.07542150851254413,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
54,104,204,-104,-0.10876403290412552,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
55,105,205,-80,-0.11285056033770774,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
56,106,206,-56,-0.08887939483869173,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
57,107,207,-32,-0.03950016338771629,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
58,108,208,-8,-0.0022071345998400617,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
59,109,209,16,0.12669297930119286,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
60,110,210,40,0.24269846585947494,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
61,111,211,64,0.21367577658764744,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
62,112,212,88,0.1438758641956597,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
63,113,213,112,0.1268749339047094,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
64,114,214,136,0.12264260572477181,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
65,115,215,160,0.11759184176673577,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
66,116,216,184,0.1250256108342258,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
67,117,217,208,0.15795466687862944,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
68,118,218,232,0.20191750575799974,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
69,119,219,256,0.13418819924052486,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
70,120,220,280,0.2312578603956356,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
71,121,221,304,0.2751298262854474,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
72,122,222,328,0.16981958255493898,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
73,123,223,352,0.0033918519229020326,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
74,124,224,376,-0.07878848081399283,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
75,125,225,400,-0.041719183259149833,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
76,126,226,424,0.025034366916210388,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
77,127,227,448,0.047675970620381425,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
78,128,228,472,0.045933753837627045,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
79,129,229,496,0.016205562612439828,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
80,130,230,520,-0.03860431625888774,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
81,131,231,544,-0.04944465270331002,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
82,132,232,568,-0.017166908788240714,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
83,133,233,592,-0.010415009387504564,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
84,134,234,616,-0.1086898184572671,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
85,135,235,640,-0.1822565476096012,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
86,136,236,664,-0.09832190185669097,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
87,137,237,688,-0.02592405630861915,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
88,138,238,712,-0.009216427365158528,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
89,139,239,736,0.0050010643821953695,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
90,140,240,760,0.04372636354803366,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
91,141,241,784,0.03393786926535233,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
92,142,242,808,-0.06602606948538188,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
93,143,243,832,-0.0905051954961573,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
94,144,244,856,-0.006147231306428265,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
95,145,245,880,0.07914129649143586,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
96,146,246,904,0.10479804209883915,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
97,147,247,928,0.16816585395408032,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
98,148,248,952,0.22892775853390326,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
99,149,249,976,0.23223270151288422,1,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
100,200,400,-200,0.022488190708989265,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
101,201,401,-176,-0.0008798896271990722,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
102,202,402,-152,-0.0324622429250943,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
103,203,403,-128,0.007952180771175826,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
104,204,404,-104,0.0759124194488875,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
105,205,405,-80,0.10833458083403551,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
106,206,406,-56,0.09823650247453274,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
107,207,407,-32,0.04810149381927568,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
108,208,408,-8,-0.016601140253484557,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
109,209,409,16,-0.05317621961892522,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
110,210,410,40,-0.015709469654686305,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
111,211,411,64,0.03234074182874986,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
112,212,412,88,0.03237862344047813,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
113,213,413,112,0.08909404976258946,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
114,214,414,136,0.1491373035409482,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
115,215,415,160,0.1406198689512438,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
116,216,416,184,0.10815770156196948,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
117,217,417,208,0.06641898992976421,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
118,218,418,232,0.01755917899818082,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
119,219,419,256,0.011362422762081206,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
120,220,420,280,0.028022315251940145,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
121,221,421,304,0.07256172602026704,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
122,222,422,328,0.13198287586376914,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
123,223,423,352,0.17447632867071214,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
124,224,424,376,0.17149725961369922,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
125,225,425,400,0.14891011048504962,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
126,226,426,424,0.12008189504788709,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
127,227,427,448,0.046212709522637445,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
128,228,428,472,-0.020798920997527757,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
129,229,429,496,-0.006608018916663012,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
130,230,430,520,0.03347734193373863,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
131,231,431,544,0.046460056640505176,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
132,232,432,568,0.007945105384572035,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
133,233,433,592,-0.03731614901324271,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
134,234,434,616,0.00449525364773994,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
135,235,435,640,0.08222473231590888,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
136,236,436,664,0.1353367804334932,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
137,237,437,688,0.11947417462535485,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
